"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"ts'insyaa","intransitive verb","ts'ns/*yaa","walk away","","Ts'nsyaa łgu haas.","The dog walked away.","","","","","","","","1","","","","","","","","","Image depicting: ts'insyaa","TODDLER WITH BUCKET.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ła'agynsk","common noun","*ła'a/gynsk","bandaid; bandage","","Ḵ'aa a̱n'onu, txalk'yanu ła'agynsk.","I cut my hand, I am going to bandage it.","","Spoken example sentence with word: ła'agynsk","la'agynsk-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1268.","1","","","","la'agynsk-em-hb-02.mp3","","","","","","","","","","",
"ła'agynsk","common noun","*ła'a/gynsk","glue; tape","","","","","","","","","","Dunn, Practical Dictionary entry: 1268.","1","","","","","","","","","Image depicting: ła'agynsk","STUCK TO GLUE.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"dahos","common noun","da/*hos","axe (an older word; now replaced by gyigyootk)","","Dm gyiigu su dahos.","I am going to buy a new axe.","","Spoken example sentence with word: dahos","dahos-db-kk-03.mp3","","","","","1","","","","dahos-db-kk-03.mp3","","","","","","","","","","",
"ma̱hana̱'a̱x","intransitive verb","ma̱/ha/*na̱'a̱x","effeminate","","Ma̱hana̱'a̱g̱a k'oolda łgu 'yuuta.","One young boy is effeminate.","","","","","","","Dunn, Practical Dictionary entry: 1383.","1","","Person saying: ma̱hana̱'a̱x","","","","","","","Image depicting: ma̱hana̱'a̱x","MAN DRESSED AS WOMAN.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ma̱hana̱'a̱x","common noun","ma̱/ha/*na̱'a̱x","effeminate man","","","","","","","","","","Dunn, Practical Dictionary entry: 1383.","1","","Person saying: ma̱hana̱'a̱x","","","","","","","","","","","","",
"k'yinamamxsk","intransitive verb","gyi/na/*ma/mxsk","late (pl.)","","","","","","","","","","","1","","","","","","","","","","","","","","",
"hang̱oot","intransitive verb","","treat cruelly; maliciously destroy","","Hang̱ooda łgu 'yuuta da p'ldzaplda wekt.","The young man maliciously destroyed his brother's toy.","","","","","","","Dunn, Practical Dictionary entry: 682.","1","","","","","","","","","","","","","","",
"g̱a̱p'a̱laas","common noun","g̱a̱/p'a̱/*laas","mosquito larvae; mosquito pupae","","","","","","","","","","","1","","","","","","","","","","","","","","",
"likwdaada̱xs","","","leave, pl.","","","","","","","","","","","1","","","","","","","","","","","","","","",
"luspag̱a=","prenominal","","between","","","","","","","","","","","1","","","","","","","","","","","","","","",
"lu baask","intransitive verb","lu/*baask","blow in (of the wind)","","Lu baasga wil g̱a̱deelpgm.","The wind is blowing in where we're anchored.","","Spoken example sentence with word: lu baask","lubaask-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1198.","1","","","","lubaask-em-hb-02.mp3","","","","","","","","","","",
"'wa̱h g̱oot","intransitive verb","","thoughtless","",""Naa sm 'wa̱h g̱oodm gyet naa t'in 'lii doo luunksm lak t'in ts'ey'kl laga gwa'a?"",""Who was the thoughtles person who put on dry wood which extinguished this fire?"","","","","Beynon m 96.1","","","","1","","","","","","","","","","","","","","",
"g̱a̱lm ts'iluum","common noun","g̱a̱/lm/ts'ü/*luum","lunch box","","Doo g̱a̱lm ts'iluum k'aba ha̱naa'na̱x.","All the girls have a lunch box.","","Spoken example sentence with word: g̱a̱lm ts'iluum","galmts'uluum-mb-kk-01.mp3","","","","","1","","","","galmts'uluum-mb-kk-01.mp3","","","","","Image depicting: g̱a̱lm ts'iluum","LUNCH BOX 1.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"t'aask","intransitive verb","","pre-existing","","","","","","","","","","","1","","","","","","","","","","","","","","",
"gyisg̱e'en","transitive verb","gyis/*g̱e/'en","move something over","","Gyis g̱e'entu boot da awaa wil txa̱lgyooksn.","I am going to move the boat to where you are tied up.","","Spoken example sentence with word: gyisg̱e'en","gyisgeen-sc-k-01.mp3","","","","","1","","","","gyisgeen-sc-k-01.mp3","","","","","","","","","","",
"sg̱a̱'yaaḵa","common noun","","curtains","","","","","","","","","","Dunn, Practical Dictionary entry: 1679.","1","","","","","","","","","Image depicting: sg̱a̱'yaaḵa","CURTAINS.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"wag̱ayt dooni","intransitive verb","wa/g̱ayt/*doo","far away","","Wag̱ayt doo wil g̱aḵ'awtga gyibaaw.","I hear a wolf howling far away.","","Spoken example sentence with word: wag̱ayt dooni","wagaytdoo-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2074.","1","","","","wagaytdoo-dl-hb-03.mp3","","","","","","","","","","",
"as'aats'ik","intransitive verb","as/*'aa/ts'ik","straight (pl.)","","As'aats'iga k'aba g̱ang̱an.","The wood is straight.","","Spoken example sentence with word: as'aats'ik","asak'ats'ik-pr-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 10.","1","","","","asak'ats'ik-pr-hb-01.mp3","","","","","","","","","","",
"łgumiik","common noun","łgü/*miik","red-breasted merganser; sawbill duck; - gray and white with sharp pointed red head ","","'Nii 'nastoo ḵ'ala'aks di wil łgümeda łgümiik.","The red breasted merganser lays its eggs beside a river.","","","","","","","Dunn, Practical Dictionary entry: 1314.  Dunn, Practical Dictionary entry: 1424.","1","","","","","","","","","","","","","","",
"wilalaagwit","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ya'ansk","transitive verb","*ya/'ansk","distribution (usage: The act of passing around something)","","Yagwa ya'ansgm ligiwaal luulgidit.","The one having the feast is passing out gifts.","","","","","","","Dunn, Practical Dictionary entry: 2199.","1","","","","","","","","","","","","","","",
"sixoolk","transitive verb","si/*xoolk","toast something","","Dm sixoolgm ła'ask.","We will toast seaweed.","","Spoken example sentence with word: sixoolk","saxoolk-dl-hb-01.mp3","","","","","1","","","","saxoolk-dl-hb-01.mp3","","","","","","","","","","",
"tgi g̱ol","intransitive verb","tgi/*g̱ol","spill; empty; dump (of a solid object)","","Tgi g̱ol sgusiit nahn wil si'ił ama man doot.","The potatoes spilled when I tried to pile them up.","","Spoken example sentence with word: tgi g̱ol","636862820066120057A LexExampleSentence.mp3","Ellen Mason, Txałgiiw","","","","1","","Person saying: tgi g̱ol","","636862820066120057A LexExampleSentence.mp3","","","","","Image depicting: tgi g̱ol","CARRYING GROCERIES 2.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"g̱a̱nlutgubaa","common noun","g̱a̱n/lu/tgu/*baa","double-block (nautical); pulley (nautical); block-and-tackle","","G̱a̱nlutgubaa hoym ła dip manse'ika 'wii txaw.","We used the double-block to pull up a big halibut.","","Spoken example sentence with word: g̱a̱nlutgubaa","ganlutgubaa-mb-kk-01.mp3","","","","Dunn, Practical Dictionary entry: 395.","1","","","","ganlutgubaa-mb-kk-01.mp3","","","","","Image depicting: g̱a̱nlutgubaa","PULLEY.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"haga'waan","common noun","","toothpick","","","","","","","","","","","1","","","","","","","","","","","","","","",
"libets'aẅ","common noun","li/be/*ts'aẅ","kidney (Kitkatla dialect)","","Di ga̱ba gyeda nlibets'aẅ üüla.","People eat seal kidneys.","","","","","","","Dunn, Practical Dictionary entry: 1141.","1","","Person saying: libets'aẅ","","","","","","","","","","","","",
"lip gye'en","transitive verb","","free something or someone","","ada hawt łat lip gye'ent,","and said as he freed it, ","","","","Beynon m 18.1","","","","1","","","","","","","","","","","","","","",
"sag̱ayt too'ma","intransitive verb","","gather dry goods for a feast","","ada wil sag̱ayt too'ma wilnat'ała gwa̱'a̱,","and the people of the same crest [as the deceased] gather dry goods","","","","K 016: K 15.1","","","","1","","","","","","","","","","","","","","",
"wa̱n","intransitive verb","wan","sit (pl.); stay","","Aluwan g̱ahak'oo k'a̱ba̱tgüüłk da wil want.","The children's backs are showing from where they are sitting.","","Spoken example sentence with word: wa̱n","wan2-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 1814.  Dunn, Practical Dictionary entry: 2064.","1","","","","wan2-dl-hb-03.mp3","","","","","Image depicting: wa̱n","COUPLE SITTING 5.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"wa̱n","intransitive verb","wan","be; exist (pl.)","","Wa̱n liplooba da gwa̱'a̱.","There are rocks around here.","","Spoken example sentence with word: wa̱n","wan2-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 1814.  Dunn, Practical Dictionary entry: 2064.","1","","","","wan2-dl-hb-03.mp3","","","","","","","","","","",
"s'yaan","common noun","s'yaan","bottom of a lake; floor of the ocean;bottom of anything","","Gwelga na s'yaan da g̱ałm t'u'utsk.","The bottom of the pot is burned.","","Spoken example sentence with word: s'yaan","s-s’yaan-bottom-vn-hb-2015_1.mp3","","","","Dunn, Practical Dictionary entry: 1812.","1","","","","s-s’yaan-bottom-vn-hb-2015_1.mp3","","","","","","","","","","",
"-a","","a","predicative connective, used with common nouns in the everyday style and with common nouns with indefinite location in the high style; also used to connect nouns to demonstratives. Also used with auxiliary verbs that take a sentential complement (da̱'a̱xłk, hasa̱x, etc.) to link to the sentential complement: Akandi da̱'a̱xłga dm miilgu. I am not able to dance.","","Yagwa hadiksa sts'ool.","The beaver is swimming.","","Spoken example sentence with word: -a","-a-cn-pred-ac-ps-01.mp3","Alex Campbell, La̱x Kw'alaams","","","","1","","","","-a-cn-pred-ac-ps-01.mp3","","","","","","","","","","",
"-a","","a","possessive connective, used with common nouns in the everyday style and with common nouns which are not marked for location in the high style","","da wil baxyaayu da ts'moffica Harbor Air,","I walked up to the office of Harbour Air","","","","Fumiko S 3.1","","","","1","","","","","","","","","","","","","","",
"ma̱ḵ'ooxs","common noun","ma̱/*ḵ'ooxs","salmonberries","","Yagwa dm si ma̱ḵ'ooxsu.","I am going to pick salmonberries.","","Spoken example sentence with word: ma̱ḵ'ooxs","ma'kooxs-vn-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1375.  Dunn, Practical Dictionary entry: 1379.","1","","Person saying: ma̱ḵ'ooxs","","ma'kooxs-vn-hb-01.mp3","","","","","Image depicting: ma̱ḵ'ooxs","rubus_spectabilis2.bmp","","Photograph courtesy of Nancy Turner.","","",
"'nik'nuunk","intransitive verb","'nik/'nuunk","long; tall; long time","","'Nik'nuunga woo'mls Meli.","Mary's eyelashes are long.","","Spoken example sentence with word: 'nik'nuunk","'nik'nuunk-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1491.","1","","","","'nik'nuunk-em-hb-02.mp3","","","","","","","","","","",
"'nik'nuunk","intransitive verb","'nik/'nuunk","far ","","","","","","","","","","Dunn, Practical Dictionary entry: 1491.","1","","","","","","","","","","","","","","",
"'nik'nuunk","intransitive verb","'nik/'nuunk","long time (pl.)","","","","","","","","","","Dunn, Practical Dictionary entry: 1491.","1","","","","","","","","","","","","","","",
"sda̱n'onm ha̱xbeexsk","common noun","sda̱/n/*'on/m/ha̱x/*beexsk","carpenter's handsaw","","Di sgüü sda̱n'onm ha̱xbeexsk das Norm.","Norm has a handsaw too.","","","","","","","Dunn, Practical Dictionary entry 1762.","1","","","","","","","","","Image depicting: sda̱n'onm ha̱xbeexsk","HANDSAW 15.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"'nat'miis","common noun","'na/t'm/*iis","painting","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'nat'miis","transitive verb","'na/t'm/*iis","paint","","","","","","","","","","","1","","","","","","","","","Image depicting: 'nat'miis","Kids 922.jpg","","Image from Print Artist Platinum solftware, version 23, Supplementary Graphics CD.","","",
"sa al'awlksk","","","float away (pl.)","","Sa al'awlksa g̱a̱xsoo.","The canoes floated away.","","Spoken example sentence with word: sa al'awlksk","sa-al'awlksa-g̱a̱xsoo_1.mp3","","","","","1","","","","sa-al'awlksa-g̱a̱xsoo_1.mp3","","","","","","","","","","",
"ksiil","common noun","ksiil","tears","","Ksaḵ'oła ksiil łguwoomłk.","The child's tears are running. (Beatrice Robinson, Gitxaała)","","Spoken example sentence with word: ksiil","ksiil-br-k-01.mp3","","","","Dunn, Practical Dictionary entry: 341.  Dunn, Practical Dictionary entry: 966.","1","","","","ksiil-br-k-01.mp3","","","","","Image depicting: ksiil","GIRL CRYING 02.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"looms","intransitive verb","looms","behave; act in a manner (pl.)","","'Wa̱h looms gyetga dip awaan.","Those people are acting foolish.","","","","","","","","1","","","","","","","","","","","","","","",
"wilgyigyet","common noun","wil/gyi/*gyet","colours (pl.)","","Amap'asa wilgyigyeda maḵ'ooxs.","The colours of the salmonberries are pretty.","","","","","","","Dunn, Practical Dictionary entry: 2091.","1","","","","","","","","","Image depicting: wilgyigyet","Fabric 100.jpg","","Image from Print Artist Platinum, Version 23, Supplementary Images CD.","","",
"g̱aapxa̱n","intransitive verb","*g̱aap/xa̱n","scraped","","","","","","","","","","Dunn, Practical Dictionary entry: 291.  Dunn, Practical Dictionary entry: 1039.","1","","","","","","","","","","","","","","",
"g̱aapxa̱n","transitive verb","*g̱aap/xa̱n","rake; paw; scratch; scrape","","Yagwa nm g̱aapxa̱n kyoox.","I'm going to rake the lawn.","","Spoken example sentence with word: g̱aapxa̱n","gaapxan-mb-kk-01.mp3","","","","Dunn, Practical Dictionary entry: 291.  Dunn, Practical Dictionary entry: 1039.","1","","","","gaapxan-mb-kk-01.mp3","","","","","Image depicting: g̱aapxa̱n","RAKE - CLAW 2.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"woo","common noun","","drying poles (large diameter)","","adat 'lii mag̱asga t'mg̱awst asga la̱x woosga asga ts'm waalp.","and he placed the head on the drying poles in the house","","","","Beynon m 48.1","","","","1","","","","","","","","","","","","","","",
"xgwa̱tks","intransitive verb","x/*gwa̱tks","feel cold","","Ḵ'a̱p luk'wil xgwa̱tks'nu.","I'm really cold.","","Spoken example sentence with word: xgwa̱tks","xgwatks-ab-takwaan-01.mp3","","","","Dunn, Practical Dictionary entry: 519.  Dunn, Practical Dictionary entry: 2147.","1","","","","xgwatks-ab-takwaan-01.mp3","","","","","Image depicting: xgwa̱tks","FREEZING 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"huk algya̱x","common noun","","speaker, someone who is always speaking","","","","","","","","","","Dunn, Practical Dictionary entry: 811.","1","","","","","","","","","Image depicting: huk algya̱x","SPEAKER.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"duubasg̱a̱'niis","common noun","*duub/a/sg̱a̱/*'niis","base of a mountain; foot of a mountain","","Heelda maay a nduuba sg̱a'niis.","There's lots of berries at the base of the mountain.","","Spoken example sentence with word: duubasg̱a̱'niis","d-duubasga'niis-mb-k-01_1.mp3","","","","Dunn, Practical Dictionary entry: 228.","1","","","","d-duubasga'niis-mb-k-01_1.mp3","","","","","","","","","","",
"sah gya'wn","common noun","*sah/gya/'wn","today","","Sgüü dm dip hoy g̱a̱gwüda'atsm a sah gya'wn awil gwatga gyelx.","We must wear our coats today because it's cold outside.","","Spoken example sentence with word: sah gya'wn","sahgya'wn-dl-hb-01.mp3","Ellen Mason, Txałgiiw, 2018","","","Dunn, Practical Dictionary entry: 564.","1","","","","sahgya'wn-dl-hb-01.mp3","","","","","","","","","","",
"waalpxn","common noun","","temporary shelter","","Gyik k'üülda g̱anłaaga asi sg̱eetga da ga̱ksga ma̱nhaytgitga  ada wila ksüüt a na waalpxnt.","And one morning while it was still dark, the chief hunter awoke and came out of his hunting house.","","Spoken example sentence with word: waalpxn","636863848545447541A LexExampleSentence.mp3","Beynon m 13.1","","","","1","","","","636863848545447541A LexExampleSentence.mp3","","","","","","","","","","",
